lane_id,det_id
-42398512#0_0,e1det_-42398512#0_0
-42398977#1_0,e1det_-42398977#1_0
-42398978#3_0,e1det_-42398978#3_0
-42400052#0_0,e1det_-42400052#0_0
-42400052#1_0,e1det_-42400052#1_0
-42412528#5_0,e1det_-42412528#5_0
-42412632#1_0,e1det_-42412632#1_0
-42412632#2_0,e1det_-42412632#2_0
-42412632#3_0,e1det_-42412632#3_0
-42412632#4_0,e1det_-42412632#4_0
-42412751#4_0,e1det_-42412751#4_0
-42655140#0_0,e1det_-42655140#0_0
-42655140#1_0,e1det_-42655140#1_0
-42943184#0_0,e1det_-42943184#0_0
-42943243#12_0,e1det_-42943243#12_0
-44354424#0_0,e1det_-44354424#0_0
-466271889#1_0,e1det_-466271889#1_0
-48069908#0_0,e1det_-48069908#0_0
-50633435_0,e1det_-50633435_0
-515983627#2_0,e1det_-515983627#2_0
-543824360#10_0,e1det_-543824360#10_0
-567248422#4_0,e1det_-567248422#4_0
-628048130#1_0,e1det_-628048130#1_0
-663819976#2_0,e1det_-663819976#2_0
-663819976#3_0,e1det_-663819976#3_0
-699829401_0,e1det_-699829401_0
-723298101_0,e1det_-723298101_0
-72701010#1_0,e1det_-72701010#1_0
-743595603#1_0,e1det_-743595603#1_0
-757864194#1_0,e1det_-757864194#1_0
-757864195#0_0,e1det_-757864195#0_0
-80319849#0_0,e1det_-80319849#0_0
-854231924#0_0,e1det_-854231924#0_0
-854231924#0_1,e1det_-854231924#0_1
-866185023_0,e1det_-866185023_0
-868296018#4_0,e1det_-868296018#4_0
-868296018#7_0,e1det_-868296018#7_0
-868296018#9_0,e1det_-868296018#9_0
101765108#0_0,e1det_101765108#0_0
101765108#1_0,e1det_101765108#1_0
114077390_0,e1det_114077390_0
114108304#1_0,e1det_114108304#1_0
114108305#2_0,e1det_114108305#2_0
114108308_0,e1det_114108308_0
114108310#1_0,e1det_114108310#1_0
114108310#1_1,e1det_114108310#1_1
114108321_0,e1det_114108321_0
114108324_0,e1det_114108324_0
114108349#2-AddedOffRampEdge_0,e1det_114108349#2-AddedOffRampEdge_0
114108349#2-AddedOffRampEdge_1,e1det_114108349#2-AddedOffRampEdge_1
114108349#3_0,e1det_114108349#3_0
114108349#6_0,e1det_114108349#6_0
114108349#6_1,e1det_114108349#6_1
114391771#1_0,e1det_114391771#1_0
114391771#2_0,e1det_114391771#2_0
116920045_0,e1det_116920045_0
119617637#7_0,e1det_119617637#7_0
119980740#4_0,e1det_119980740#4_0
119980750#3_0,e1det_119980750#3_0
119980756#2_0,e1det_119980756#2_0
119980759#3_0,e1det_119980759#3_0
120426543#7_0,e1det_120426543#7_0
120426545#1_0,e1det_120426545#1_0
120426546#1_0,e1det_120426546#1_0
120491939_0,e1det_120491939_0
120492001#1_0,e1det_120492001#1_0
120492001#2_0,e1det_120492001#2_0
121100408#10_0,e1det_121100408#10_0
121100408#10_1,e1det_121100408#10_1
121100408#7_0,e1det_121100408#7_0
121100408#7_1,e1det_121100408#7_1
121100408#8_0,e1det_121100408#8_0
121100408#8_1,e1det_121100408#8_1
121100409#3_0,e1det_121100409#3_0
121100409#3_1,e1det_121100409#3_1
121100415_0,e1det_121100415_0
121100435#0_0,e1det_121100435#0_0
121100435#0_1,e1det_121100435#0_1
121100435#1_0,e1det_121100435#1_0
121100435#1_1,e1det_121100435#1_1
121100443_0,e1det_121100443_0
121100443_1,e1det_121100443_1
121100444#0_0,e1det_121100444#0_0
121100444#0_1,e1det_121100444#0_1
121399172#9_0,e1det_121399172#9_0
121399172#9_1,e1det_121399172#9_1
121399177#5_0,e1det_121399177#5_0
121399180#0_0,e1det_121399180#0_0
121399180#1_0,e1det_121399180#1_0
121399180#2_0,e1det_121399180#2_0
121399180#3_0,e1det_121399180#3_0
121399180#4_0,e1det_121399180#4_0
121399180#5_0,e1det_121399180#5_0
121399180#6_0,e1det_121399180#6_0
121399181#1_0,e1det_121399181#1_0
121399189#2_0,e1det_121399189#2_0
121399195#6_0,e1det_121399195#6_0
121399199#0_0,e1det_121399199#0_0
121399200_0,e1det_121399200_0
121399235#1_0,e1det_121399235#1_0
121399247#5_0,e1det_121399247#5_0
121399269_0,e1det_121399269_0
121399288_0,e1det_121399288_0
121399333_0,e1det_121399333_0
121399410#0_0,e1det_121399410#0_0
121399419#3_0,e1det_121399419#3_0
121399443#0_0,e1det_121399443#0_0
121399479#0_0,e1det_121399479#0_0
121399482#0_0,e1det_121399482#0_0
121510215#2_0,e1det_121510215#2_0
121510215#2_1,e1det_121510215#2_1
121510217#1_0,e1det_121510217#1_0
121510217#1_1,e1det_121510217#1_1
121510218#0_0,e1det_121510218#0_0
121510218#2_0,e1det_121510218#2_0
121510218#5_0,e1det_121510218#5_0
121510218#6_0,e1det_121510218#6_0
121510221#3_0,e1det_121510221#3_0
121510221#4_0,e1det_121510221#4_0
121510223#1_0,e1det_121510223#1_0
121510224#6_0,e1det_121510224#6_0
121510226#0_0,e1det_121510226#0_0
121510228#6_0,e1det_121510228#6_0
121510231#10_0,e1det_121510231#10_0
121510231#14_0,e1det_121510231#14_0
121510231#4_0,e1det_121510231#4_0
121510231#5_0,e1det_121510231#5_0
121510231#7_0,e1det_121510231#7_0
121510231#8_0,e1det_121510231#8_0
121510234#0_0,e1det_121510234#0_0
121510234#11_0,e1det_121510234#11_0
121510234#12_0,e1det_121510234#12_0
121510234#14_0,e1det_121510234#14_0
121510234#17_0,e1det_121510234#17_0
121510234#19_0,e1det_121510234#19_0
121510234#20_0,e1det_121510234#20_0
121510234#3_0,e1det_121510234#3_0
121510234#5_0,e1det_121510234#5_0
121510234#6_0,e1det_121510234#6_0
121510234#8_0,e1det_121510234#8_0
121510234#9_0,e1det_121510234#9_0
121510280#6_0,e1det_121510280#6_0
121510280#7_0,e1det_121510280#7_0
121510280#9_0,e1det_121510280#9_0
121510281#2_0,e1det_121510281#2_0
121510282#6_0,e1det_121510282#6_0
121510283#13_0,e1det_121510283#13_0
121510283#14_0,e1det_121510283#14_0
121510283#3_0,e1det_121510283#3_0
121510283#4_0,e1det_121510283#4_0
121510283#6_0,e1det_121510283#6_0
121510283#9_0,e1det_121510283#9_0
121511486#0_0,e1det_121511486#0_0
121511486#2_0,e1det_121511486#2_0
121511486#6_0,e1det_121511486#6_0
121511573#1_0,e1det_121511573#1_0
121511573#2_0,e1det_121511573#2_0
121511573#3_0,e1det_121511573#3_0
121511573#4_0,e1det_121511573#4_0
121511573#5_0,e1det_121511573#5_0
121511573#6_0,e1det_121511573#6_0
121511573#9_0,e1det_121511573#9_0
121657041#2_0,e1det_121657041#2_0
121657041#3_0,e1det_121657041#3_0
121657045#3_0,e1det_121657045#3_0
121657045#5_0,e1det_121657045#5_0
121657045#6_0,e1det_121657045#6_0
121657045#7_0,e1det_121657045#7_0
121657045#8_0,e1det_121657045#8_0
121657045#9_0,e1det_121657045#9_0
121657047#0_0,e1det_121657047#0_0
